Name,Alias,Shelf
Bananas,Banana,Ambient
Bananas Minipack,Banana,Ambient
Easy Peeler,Orange,Ambient
Easy Peeler Boxpack,Orange,Ambient
Limes,Lime,Ambient
Lemons Loose,Lemon,Ambient
Brussels sprouts,Sprouts,Ambient
Parsnip,Parsnip,Ambient
Baby Potatoes,Potatoes,Ambient
Washed White Potatoes,Potatoes,Ambient
Carrots,Carrot,Ambient
Maris Piper Potatoes,Potatoes,Ambient
Mixed Leaf Salad Bowl,Salad,Chilled 1
Mixed Leaf Salad,Salad,Chilled 1
Baby Leaf Salad,Salad,Chilled 1
Wild Rocket,Rocket ,Chilled 1
Read To Eat Spinich,Spinich,Chilled 1
Sliced Curly Kale,Kale,Chilled 1
Classic Fruit Salad,Fruit,Chilled 1
Exotic Fruit Salad,Fruit,Chilled 1
Mango,Mango,Chilled 1
Strawberries,Strawberry,Chilled 1
Raspberries,Raspberry,Chilled 1
Blueberries,Blueberries,Chilled 1
Gala Apples,Apple,Chilled 1
Pink Lady Apples,Apple,Chilled 1
Red Grapes,Grapes,Chilled 1
Green Grapes,Grapes,Chilled 1
Ripe Mangos,Mango,Chilled 1
Plums,Plum,Chilled 1
Conference Pears,Pear,Chilled 1
Loose Orange,Orange,Chilled 1
Iceberg Lettuce,Lettuce,Chilled 2
Whole Cucumber,Cucumber,Chilled 2
Mixed Peppers,Pepper,Chilled 2
Avocados,Avocado,Chilled 2
Tomatoes,Tomato,Chilled 2
Baby Plum Tomatoes,Baby Tomato,Chilled 2
Carrot Wedge,Carrot,Chilled 2
Mashed Potato,Potato,Chilled 2
Fine Trimmed Beans,Beans,Chilled 2
Tender Stem Broccoli,Broccoli,Chilled 2
Asparagus,Asparagus,Chilled 2
Green Veg Medley,Medley Veg,Chilled 2
Carrot Cauliflower Broccoli,Veg,Chilled 2
Cup Mushrooms,Mushroom,Chilled 2
Cauliflower ,Cauliflower,Chilled 2
Brocolli,Brocolli,Chilled 2
Trimmed Leeks,Leek,Chilled 2
Garlic,Garlic,Chilled 2
Onions,Onions,Chilled 2
Red Onions,Onions,Chilled 2
Baking Potatoes,Potatoes,Chilled 2
