Name,Shelf
VE-VU,VE-VU
VX-XZ,VX-XZ
VC-VE,VC-VE
VA-VC,VA-VC
TW-VA,TW-VA
TQ-TW,TQ-TW
TL-TQ,TL-TQ
TG-TJ,TG-TJ
AA-AP,AA-AP
AP-BG,AP-BG
BH-BO,BH-BO
BO-BS,BO-BS
BS-DB,BS-DB
DC-DI,DC-DI
DM-EG,DM-EG
EI-EQ,EI-EQ
EQP-ER,EQP-ER
ET-FJ,ET-FJ
FJ-FM,FJ-FM
FM-GA,FM-GA
GA-GV,GA-GV
GV-JG,GV-JG
JG-JN,JG-JN
JN-LE,JN-LE
LE-LZ,LE-LZ
NA-NN,NA-NN
NN-NOE,NN-NOE
NOE-NT,NOE-NT
NT-QC,NT-QC
QC-CN,QC-CN
QN-QV,QN-QV
QV-QZ,QV-QZ
RP-RT,RP-RT
RP-RT,RP-RT
RT,RT
RV-TA,RV-TA
TA,TA
TA,TA
TA,TA
TA-TD,TA-TD
TE-TG,TE-TG
